time_seconds,frame_number,people_in_frame,bicycles_in_frame,vehicles_in_frame,total_in_frame,total_people_counted,total_bicycles_counted,total_vehicles_counted,total_objects_counted,newly_counted_this_frame,detected_objects,total_detections,rak_dips,rak_depth
0.0,0,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.0333666666666666,1,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.0667333333333333,2,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.1001,3,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.1334666666666666,4,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.1668333333333333,5,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.2002,6,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.2335666666666666,7,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.2669333333333333,8,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.3003,9,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.3336666666666666,10,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.3670333333333333,11,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.4004,12,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.4337666666666667,13,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.4671333333333333,14,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.5005000000000001,15,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.5338666666666667,16,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.5672333333333334,17,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.6006,18,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.6339666666666667,19,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.6673333333333333,20,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.7007,21,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.7340666666666666,22,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.7674333333333333,23,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.8008000000000001,24,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.8341666666666667,25,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.8675333333333334,26,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.9009,27,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.9342666666666668,28,0,0,0,0,0,0,0,0,0,[],0,0,184.0
0.9676333333333332,29,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.001,30,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.0343666666666669,31,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.0677333333333334,32,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.1011,33,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.1344666666666667,34,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.1678333333333333,35,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.2012,36,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.2345666666666666,37,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.2679333333333334,38,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.3013,39,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.334666666666667,40,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.3680333333333334,41,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.4014,42,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.4347666666666667,43,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.4681333333333333,44,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.5015,45,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.5348666666666666,46,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.5682333333333334,47,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.6016,48,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.634966666666667,49,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.6683333333333334,50,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.7017,51,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.7350666666666668,52,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.7684333333333333,53,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.8018,54,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.8351666666666664,55,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.8685333333333332,56,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.9019,57,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.9352666666666667,58,0,0,0,0,0,0,0,0,0,[],0,0,184.0
1.9686333333333332,59,0,0,0,0,0,0,0,0,0,[],0,0,184.0
