time_seconds,frame_number,people_in_frame,bicycles_in_frame,vehicles_in_frame,total_in_frame,total_people_counted,total_bicycles_counted,total_vehicles_counted,total_objects_counted,newly_counted_this_frame,detected_objects,total_detections
2.8028,84,0,0,0,0,0,0,0,0,0,[],0
2.8361666666666667,85,0,0,0,0,0,0,0,0,0,[],0
2.8695333333333335,86,0,0,0,0,0,0,0,0,0,[],0
2.9029000000000003,87,0,0,0,0,0,0,0,0,0,[],0
2.9362666666666666,88,0,0,0,0,0,0,0,0,0,[],0
2.9696333333333333,89,0,0,0,0,0,0,0,0,0,[],0
3.003,90,0,0,0,0,0,0,0,0,0,[],0
3.036366666666667,91,0,0,0,0,0,0,0,0,0,[],0
3.069733333333333,92,0,0,0,0,0,0,0,0,0,[],0
3.1031,93,0,0,0,0,0,0,0,0,0,[],0
3.1364666666666667,94,0,0,0,0,0,0,0,0,0,[],0
3.1698333333333335,95,0,0,0,0,0,0,0,0,0,[],0
3.2032000000000003,96,0,0,0,0,0,0,0,0,0,[],0
3.2365666666666666,97,0,0,0,0,0,0,0,0,0,[],0
3.2699333333333334,98,0,0,0,0,0,0,0,0,0,[],0
3.3033,99,0,0,0,0,0,0,0,0,0,[],0
3.336666666666667,100,0,0,0,0,0,0,0,0,0,[],0
3.370033333333333,101,0,0,0,0,0,0,0,0,0,[],0
3.4034,102,0,0,0,0,0,0,0,0,0,[],0
3.4367666666666667,103,0,0,0,0,0,0,0,0,0,[],0
3.4701333333333335,104,0,0,0,0,0,0,0,0,0,[],0
3.5035000000000003,105,0,0,0,0,0,0,0,0,0,[],0
3.5368666666666666,106,0,0,0,0,0,0,0,0,0,[],0
3.5702333333333334,107,0,0,0,0,0,0,0,0,0,[],0
3.6036,108,0,0,0,0,0,0,0,0,0,[],0
3.636966666666667,109,0,0,0,0,0,0,0,0,0,[],0
3.6703333333333332,110,0,0,0,0,0,0,0,0,0,[],0
3.7037,111,0,0,0,0,0,0,0,0,0,[],0
3.7370666666666668,112,0,0,0,0,0,0,0,0,0,[],0
3.7704333333333335,113,0,0,0,0,0,0,0,0,0,[],0
3.8038,114,0,0,0,0,0,0,0,0,0,[],0
3.8371666666666666,115,0,0,0,0,0,0,0,0,0,[],0
3.8705333333333334,116,0,0,0,0,0,0,0,0,0,[],0
3.9039,117,0,0,0,0,0,0,0,0,0,[],0
3.937266666666667,118,0,0,0,0,0,0,0,0,0,[],0
3.9706333333333332,119,0,0,0,0,0,0,0,0,0,[],0
4.0040000000000004,120,0,0,0,0,0,0,0,0,0,[],0
4.037366666666666,121,0,0,0,0,0,0,0,0,0,[],0
4.070733333333333,122,0,0,0,0,0,0,0,0,0,[],0
4.1041,123,0,0,0,0,0,0,0,0,0,[],0
4.137466666666667,124,0,0,0,0,0,0,0,0,0,[],0
4.170833333333333,125,0,0,0,0,0,0,0,0,0,[],0
4.2042,126,0,0,0,0,0,0,0,0,0,[],0
4.237566666666667,127,0,0,0,0,0,0,0,0,0,[],0
4.270933333333334,128,0,0,0,0,0,0,0,0,0,[],0
4.3043000000000005,129,0,0,0,0,0,0,0,0,0,[],0
4.337666666666666,130,0,0,0,0,0,0,0,0,0,[],0
4.371033333333333,131,0,0,0,0,0,0,0,0,0,[],0
4.4044,132,0,0,0,0,0,0,0,0,0,[],0
4.437766666666667,133,0,0,0,0,0,0,0,0,0,[],0
4.471133333333333,134,0,0,0,0,0,0,0,0,0,[],0
4.5045,135,0,0,0,0,0,0,0,0,0,[],0
4.537866666666667,136,0,0,0,0,0,0,0,0,0,[],0
4.571233333333334,137,0,0,0,0,0,0,0,0,0,[],0
4.6046000000000005,138,0,0,0,0,0,0,0,0,0,[],0
4.637966666666666,139,0,0,0,0,0,0,0,0,0,[],0
4.671333333333333,140,0,0,0,0,0,0,0,0,0,[],0
4.7047,141,1,0,0,1,1,0,0,1,1,"[{'class': 'person', 'confidence': 0.5542863011360168, 'bbox': (1173, 186, 1279, 703), 'object_id': 1, 'is_new': True}]",1
4.738066666666667,142,0,0,0,0,1,0,0,1,0,[],0
4.771433333333333,143,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.5899573564529419, 'bbox': (1140, 46, 1279, 704), 'object_id': 1, 'is_new': False}]",1
4.8048,144,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8063858151435852, 'bbox': (1128, 40, 1279, 704), 'object_id': 1, 'is_new': False}]",1
4.838166666666667,145,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.857936441898346, 'bbox': (1098, 42, 1279, 713), 'object_id': 1, 'is_new': False}]",1
4.871533333333334,146,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.7839094400405884, 'bbox': (1091, 29, 1279, 712), 'object_id': 1, 'is_new': False}]",1
4.9049000000000005,147,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8609848618507385, 'bbox': (1048, 16, 1279, 712), 'object_id': 1, 'is_new': False}]",1
4.938266666666666,148,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8872706294059753, 'bbox': (1016, 16, 1279, 713), 'object_id': 1, 'is_new': False}]",1
4.971633333333333,149,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8780452609062195, 'bbox': (981, 13, 1279, 715), 'object_id': 1, 'is_new': False}]",1
5.005,150,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8445011973381042, 'bbox': (969, 6, 1279, 710), 'object_id': 1, 'is_new': False}]",1
5.038366666666667,151,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8836036324501038, 'bbox': (952, 7, 1279, 711), 'object_id': 1, 'is_new': False}]",1
5.071733333333333,152,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8726664781570435, 'bbox': (882, 6, 1261, 709), 'object_id': 1, 'is_new': False}]",1
5.1051,153,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8699265122413635, 'bbox': (866, 5, 1227, 710), 'object_id': 1, 'is_new': False}]",1
5.138466666666667,154,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8781351447105408, 'bbox': (825, 5, 1197, 712), 'object_id': 1, 'is_new': False}]",1
5.171833333333334,155,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8719899654388428, 'bbox': (799, 3, 1160, 710), 'object_id': 1, 'is_new': False}]",1
5.2052000000000005,156,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8378818035125732, 'bbox': (794, 2, 1125, 706), 'object_id': 1, 'is_new': False}]",1
5.238566666666666,157,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8252208828926086, 'bbox': (740, 3, 1093, 708), 'object_id': 1, 'is_new': False}]",1
5.271933333333333,158,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.736806333065033, 'bbox': (689, 2, 1077, 709), 'object_id': 1, 'is_new': False}]",1
5.3053,159,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.5138441920280457, 'bbox': (651, 4, 1055, 708), 'object_id': 1, 'is_new': False}]",1
5.338666666666667,160,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.6818535327911377, 'bbox': (436, 2, 1032, 707), 'object_id': 1, 'is_new': False}]",1
5.372033333333333,161,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.6578443646430969, 'bbox': (575, 3, 1034, 707), 'object_id': 1, 'is_new': False}]",1
5.4054,162,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.8085719347000122, 'bbox': (430, 3, 943, 708), 'object_id': 1, 'is_new': False}]",1
5.438766666666667,163,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.7746481895446777, 'bbox': (422, 5, 896, 706), 'object_id': 1, 'is_new': False}]",1
5.472133333333334,164,1,0,0,1,1,0,0,1,0,"[{'class': 'person', 'confidence': 0.747109591960907, 'bbox': (409, 1, 845, 702), 'object_id': 1, 'is_new': False}]",1
5.5055000000000005,165,0,0,0,0,1,0,0,1,0,[],0
5.538866666666666,166,0,0,0,0,1,0,0,1,0,[],0
5.572233333333333,167,0,0,0,0,1,0,0,1,0,[],0
5.6056,168,0,0,0,0,1,0,0,1,0,[],0
5.638966666666667,169,0,0,0,0,1,0,0,1,0,[],0
5.6723333333333334,170,0,0,0,0,1,0,0,1,0,[],0
5.7057,171,0,0,0,0,1,0,0,1,0,[],0
5.739066666666667,172,0,0,0,0,1,0,0,1,0,[],0
5.772433333333334,173,0,0,0,0,1,0,0,1,0,[],0
5.8058000000000005,174,0,0,0,0,1,0,0,1,0,[],0
5.839166666666666,175,0,0,0,0,1,0,0,1,0,[],0
5.872533333333333,176,0,0,0,0,1,0,0,1,0,[],0
5.9059,177,0,0,0,0,1,0,0,1,0,[],0
5.939266666666667,178,0,0,0,0,1,0,0,1,0,[],0
5.9726333333333335,179,0,0,0,0,1,0,0,1,0,[],0
6.006,180,0,0,0,0,1,0,0,1,0,[],0
6.039366666666667,181,0,0,0,0,1,0,0,1,0,[],0
6.072733333333334,182,0,0,0,0,1,0,0,1,0,[],0
6.1061000000000005,183,0,0,0,0,1,0,0,1,0,[],0
6.139466666666666,184,0,0,0,0,1,0,0,1,0,[],0
6.172833333333333,185,0,0,0,0,1,0,0,1,0,[],0
6.2062,186,0,0,0,0,1,0,0,1,0,[],0
6.239566666666667,187,0,0,0,0,1,0,0,1,0,[],0
6.2729333333333335,188,0,0,0,0,1,0,0,1,0,[],0
6.3063,189,0,0,0,0,1,0,0,1,0,[],0
6.339666666666667,190,0,0,0,0,1,0,0,1,0,[],0
6.373033333333334,191,0,0,0,0,1,0,0,1,0,[],0
6.4064000000000005,192,0,0,0,0,1,0,0,1,0,[],0
6.439766666666666,193,0,0,0,0,1,0,0,1,0,[],0
