time_seconds,ultrawide_depth_m,vehicles_in_frame,people_in_frame,bicycles_in_frame
-6.8,225,0.0,0.0,0.0
-6.7459999999999996,225,0.0,0.0,0.0
-6.692,225,0.0,0.0,0.0
-6.638,225,0.0,0.0,0.0
-6.585,225,0.0,0.0,0.0
-6.531,225,0.0,0.0,0.0
-6.476999999999999,225,0.0,0.0,0.0
-6.423,225,0.0,0.0,0.0
-6.37,225,0.0,0.0,0.0
-6.316,225,0.0,0.0,0.0
-6.262,225,0.0,0.0,0.0
-6.208,225,0.0,0.0,0.0
-6.154999999999999,225,0.0,0.0,0.0
-6.101,225,0.0,0.0,0.0
-6.047,225,0.0,0.0,0.0
-5.992999999999999,225,0.0,0.0,0.0
-5.939,225,0.0,0.0,0.0
-5.886,226,0.0,0.0,0.0
-5.832,225,0.0,0.0,0.0
-5.778,226,0.0,0.0,0.0
-5.724,225,0.0,0.0,0.0
-5.670999999999999,225,0.0,0.0,0.0
-5.617,226,0.0,0.0,0.0
-5.563,226,0.0,0.0,0.0
-5.509,225,0.0,0.0,0.0
-5.4559999999999995,225,0.0,0.0,0.0
-5.402,226,0.0,0.0,0.0
-5.348,226,0.0,0.0,0.0
-5.294,225,0.0,0.0,0.0
-5.241,225,0.0,0.0,0.0
-5.186999999999999,225,0.0,0.0,0.0
-5.133,225,0.0,0.0,0.0
-5.079,226,0.0,0.0,0.0
-5.026,226,0.0,0.0,0.0
-4.9719999999999995,226,0.0,0.0,0.0
-4.918,226,0.0,0.0,0.0
-4.864,226,0.0,0.0,0.0
-4.811,225,0.0,0.0,0.0
-4.757,226,0.0,0.0,0.0
-4.702999999999999,226,0.0,0.0,0.0
-4.649,226,0.0,0.0,0.0
-4.595,225,0.0,0.0,0.0
-4.542,225,0.0,0.0,0.0
-4.4879999999999995,226,0.0,0.0,0.0
-4.433999999999999,226,0.0,0.0,0.0
-4.38,226,0.0,0.0,0.0
-4.327,226,0.0,0.0,0.0
-4.273,226,0.0,0.0,0.0
-4.218999999999999,226,0.0,0.0,0.0
-4.165,226,0.0,0.0,0.0
-4.112,225,0.0,0.0,0.0
-4.058,225,0.0,0.0,0.0
-4.004,226,0.0,0.0,0.0
-3.9499999999999997,225,0.0,0.0,0.0
-3.897,225,0.0,0.0,0.0
-3.843,225,0.0,0.0,0.0
-3.7889999999999997,225,0.0,0.0,0.0
-3.735,225,0.0,0.0,0.0
-3.682,225,0.0,0.0,0.0
-3.6279999999999997,225,0.0,0.0,0.0
-3.574,226,0.0,0.0,0.0
-3.52,225,0.0,0.0,0.0
-3.4669999999999996,225,0.0,0.0,0.0
-3.413,225,0.0,0.0,0.0
-3.359,225,0.0,0.0,0.0
-3.3049999999999997,225,0.0,0.0,0.0
-3.251,225,0.0,0.0,0.0
-3.198,226,0.0,0.0,0.0
-3.1439999999999997,225,0.0,0.0,0.0
-3.09,226,0.0,0.0,0.0
-3.036,225,0.0,0.0,0.0
-2.9829999999999997,225,0.0,0.0,0.0
-2.929,225,0.0,0.0,0.0
-2.827,225,0.0,0.0,0.0
-2.7729999999999997,226,0.0,0.0,0.0
-2.7199999999999998,225,0.0,0.0,0.0
-2.6659999999999995,226,0.0,0.0,0.0
-2.612,226,0.0,0.0,0.0
-2.558,225,0.0,0.0,0.0
-2.505,225,0.0,0.0,0.0
-2.4509999999999996,226,0.0,0.0,0.0
-2.3970000000000002,226,0.0,0.0,0.0
-2.343,225,0.0,0.0,0.0
-2.29,226,0.0,0.0,0.0
-2.2359999999999998,226,0.0,0.0,0.0
-2.1819999999999995,225,0.0,0.0,0.0
-2.128,226,0.0,0.0,0.0
-2.075,225,0.0,0.0,0.0
-2.021,225,0.0,0.0,0.0
-1.9669999999999996,226,0.0,0.0,0.0
-1.9130000000000003,226,0.0,0.0,0.0
-1.859,225,0.0,0.0,0.0
-1.806,226,0.0,0.0,0.0
-1.7519999999999998,225,0.0,0.0,0.0
-1.6979999999999995,225,0.0,0.0,0.0
-1.6440000000000001,226,0.0,0.0,0.0
-1.5910000000000002,225,0.0,0.0,0.0
-1.537,226,0.0,0.0,0.0
-1.4829999999999997,226,0.0,0.0,0.0
-1.4289999999999994,226,0.0,0.0,0.0
-1.3759999999999994,225,0.0,0.0,0.0
-1.322,225,0.0,0.0,0.0
-1.2679999999999998,226,0.0,0.0,0.0
-1.2139999999999995,225,0.0,0.0,0.0
-1.1609999999999996,226,0.0,0.0,0.0
-1.1070000000000002,225,0.0,0.0,0.0
-1.053,225,0.0,0.0,0.0
-0.9989999999999997,225,0.0,0.0,0.0
-0.9459999999999997,225,0.0,0.0,0.0
-0.8919999999999995,226,0.0,0.0,0.0
-0.8380000000000001,225,0.0,0.0,0.0
-0.7839999999999998,225,0.0,0.0,0.0
-0.7309999999999999,225,0.0,0.0,0.0
-0.6769999999999996,225,0.0,0.0,0.0
-0.6230000000000002,225,0.0,0.0,0.0
-0.569,225,0.0,0.0,0.0
-0.5149999999999997,225,0.0,0.0,0.0
-0.46199999999999974,225,0.0,0.0,0.0
-0.4079999999999995,225,0.0,0.0,0.0
-0.3540000000000001,226,0.0,0.0,0.0
-0.3039999999999994,159,0.0,0.0,0.0
-0.2549999999999999,152,0.0,0.0,0.0
-0.20599999999999952,147,0.0,0.0,0.0
-0.15700000000000003,141,0.0,0.0,0.0
